Column1,Column2
1,"there's an energy to y tu mam?tambi閚 . much of it comes from the brave  uninhibited performances by its lead actors . "
0,"maybe you'll be lucky  and there'll be a power outage during your screening so you can get your money back . "
0,"could as easily have been called 'under siege 3 : in alcatraz' . . . a cinematic corpse that never springs to life . "
0,"a close-to-solid espionage thriller with the misfortune of being released a few decades too late . "
1,"expect no major discoveries  nor any stylish sizzle  but the film sits with square conviction and touching good sense on the experience of its women . "
1,"it is different from others in its genre in that it is does not rely on dumb gags  anatomical humor  or character cliches ; it primarily relies on character to tell its story . "
1,"disney's live-action division has a history of releasing cinematic flotsam  but this is one occasion when they have unearthed a rare gem . "
0,"during the tuxedo's 90 minutes of screen time  there isn't one true 'chan moment' . "
1," ( danny huston gives ) an astounding performance that deftly  gradually reveals a real human soul buried beneath a spellbinding serpent's smirk . "
1,"a hard look at one man's occupational angst and its subsequent reinvention  a terrifying study of bourgeois desperation worthy of claude chabrol . "
1,"you come away from his film overwhelmed  hopeful and  perhaps paradoxically  illuminated . "
1,"a culture-clash comedy that  in addition to being very funny  captures some of the discomfort and embarrassment of being a bumbling american in europe . "
1,"writer/director david caesar ladles on the local flavour with a hugely enjoyable film about changing times  clashing cultures and the pleasures of a well-made pizza . "
0,"ihops don't pile on this much syrup . "
0,"normally  rohmer's talky films fascinate me  but when he moves his setting to the past  and relies on a historical text  he loses the richness of characterization that makes his films so memorable . "
1,"victor rosa is leguizamo's best movie work so far  a subtle and richly internalized performance . "
1,"the movie addresses a hungry need for pg-rated  nonthreatening family movies  but it doesn't go too much further . "
0,"just a bloody mess . "
0,"a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men . "
0,"an ultra-low-budget indie debut that smacks more of good intentions than talent . "
1,"at once subtle and visceral  the film never succumbs to the trap of the maudlin or tearful  offering instead with its unflinching gaze a measure of faith in the future . "
1,"with notorious c . h . o . cho proves she has the stuff to stand tall with pryor  carlin and murphy . "
0,"no dia em que aceitou dirigir esta continua��o  harold ramis deve ter sa�do da cama com o p� esquerdo . e aqueles que decidiram assistir a este filme tamb�m . "
1,"at once emotional and richly analytical  the cosby-seinfeld encounter alone confirms the serious weight behind this superficially loose  larky documentary . "
0,"a noble failure . "
0,"tends to plod . "
1,"there's lots of cool stuff packed into espn's ultimate x . "
0,"the inevitable double- and triple-crosses arise  but the only drama is in waiting to hear how john malkovich's reedy consigliere will pronounce his next line . "
1,"the film's heady yet far from impenetrable theory suggests that russians take comfort in their closed-off nationalist reality . "
0,"the production values are up there . the use of cgi and digital ink-and-paint make the thing look really slick . the voices are fine as well . the problem  it is with most of these things  is the script . "
0,"the movie weighs no more than a glass of flat champagne . "
0,"this isn't a  friday  worth waiting for . "
0,"an extraordinarily silly thriller . "
1,"while not quite  shrek  or monsters  inc .   it's not too bad . it's worth taking the kids to . "
0,"sodden and glum  even in those moments where it's supposed to feel funny and light . "
1,"this film puts wang at the forefront of china's sixth generation of film makers . "
1,"an ebullient tunisian film about the startling transformation of a tradition-bound widow who is drawn into the exotic world of belly dancing . "
1,"apesar de seus graves problemas  o filme consegue entreter . "
0,"while the production details are lavish  film has little insight into the historical period and its artists  particularly in how sand developed a notorious reputation . "
0,"too intensely focused on the travails of being hal hartley to function as pastiche  no such thing is hartley's least accessible screed yet . "
1,"the strong subject matter continues to shock throughout the film . not everyone will play the dark  challenging tune taught by the piano teacher . "
0,"the title trapped turns out to be a pretty fair description of how you feel while you're watching this ultra-manipulative thriller . "
0,"here's a case of two actors who do everything humanly possible to create characters who are sweet and believable  and are defeated by a screenplay that forces them into bizarre  implausible behavior . "
1,"the film sounds like the stuff of lurid melodrama  but what makes it interesting as a character study is the fact that the story is told from paul's perspective . "
0,"'all in all  reign of fire will be a good ( successful ) rental . '"
1,"that storytelling has value cannot be denied . not even solondz's thirst for controversy  sketchy characters and immature provocations can fully succeed at cheapening it . "
1,"ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . '"
0,"flat  but with a revelatory performance by michelle williams . "
1," . . . a delightfully unpredictable  hilarious comedy with wonderful performances that tug at your heart in ways that utterly transcend gender labels . "
0,"the film is directed by wally wolodarsky from a script by joe jarvis and greg coolidge . these are names to remember  in order to avoid them in the future . "
0,"the animation merely serves up a predictable  maudlin story that swipes heavily from bambi and the lion king  yet lacks the emotional resonance of either of those movies . "
1,"miller comes at film with bracing intelligence and a vision both painterly and literary . "
1,"greg kinnear gives a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior . "
0,"an ambitious  serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance . "
1,"a tasty masala . "
0,"this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself  'ah  yes  here we have a bad  bad  bad movie . '"
1,"anyone who welcomes a dash of the avant-garde fused with their humor should take pleasure in this crazed  joyous romp of a film . "
1,"boomers and their kids will have a barrie good time . "
0,"it takes a really long  slow and dreary time to dope out what tuck everlasting is about . so here it is : it's about a family of sour immortals . "
1,"full of detail about the man and his country  and is well worth seeing . "
1,"one of the best rock documentaries ever . wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many . "
1,"what emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice . promises is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents' anguish . "
1,"that dogged good will of the parents and 'vain' jia's defoliation of ego  make the film touching despite some doldrums . "
0,"watching the powerpuff girls movie  my mind kept returning to one anecdote for comparison : the cartoon in japan that gave people seizures . "
0,"i'd give real money to see the perpetrators of chicago torn apart by dingoes . "
0,"while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film's primitive approach to the mechanics of comedy . "
1,"gives an intriguing twist to the french coming-of-age genre . "
0,"like most movies about the pitfalls of bad behavior . . . circuit gets drawn into the party . "
0," . . . a low rate annie featuring some kid who can't act  only echoes of jordan  and weirdo actor crispin glover screwing things up old school . "
1,"harks back to a time when movies had more to do with imagination than market research . "
0,"nicks refuses to let slackers be seen as just another teen movie  which means he can be forgiven for frequently pandering to fans of the gross-out comedy . "
0,"fans of so-bad-they're-good cinema may find some fun in this jumbled mess . "
0,"it's the humanizing stuff that will probably sink the film for anyone who doesn't think about percentages all day long . "
1,"there's something auspicious  and daring  too  about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a . i . with this challenging report so liable to unnerve the majority . "
1,"your children will be occupied for 72 minutes . "
0,"impostor has a handful of thrilling moments and a couple of good performances  but the movie doesn't quite fly . for starters  the story is just too slim . "
1,"too much of storytelling moves away from solondz's social critique  casting its audience as that of intellectual lector in contemplation of the auteur's professional injuries . "
1,"stock up on silver bullets for director neil marshall's intense freight train of a film . "
0,"gooding and coburn are both oscar winners  a fact which  as you watch them clumsily mugging their way through snow dogs  seems inconceivable . "
1,"what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material . "
0,"the film's essentially over by the meet-cute . "
1,"a penetrating glimpse into the tissue-thin ego of the stand-up comic . "
1,"contando com uma premissa curiosa  o filme mergulha o espectador em um clima de forte suspense  culminando em um desfecho que certamente fica na mem髍ia . "
0,"for close to two hours the audience is forced to endure three terminally depressed  mostly inarticulate  hyper dysfunctional families for the price of one . "
0,"the film is so busy making reference to other films and trying to be other films that it fails to have a heart  mind or humor of its own . "
1,"stevens has a flair for dialogue comedy  the film operates nicely off the element of surprise  and the large cast is solid . "
1,"spectacularly beautiful  not to mention mysterious  sensual  emotionally intense  and replete with virtuoso throat-singing . "
1,"in the affable maid in manhattan  jennifer lopez's most aggressive and most sincere attempt to take movies by storm  the diva shrewdly surrounds herself with a company of strictly a-list players . "
1,"though everything might be literate and smart  it never took off and always seemed static . "
0,"bearable . barely . "
0,"even accepting this in the right frame of mind can only provide it with so much leniency . "
1," . . . a story  an old and scary one  about the monsters we make  and the vengeance they take . "
1,"shiri is an action film that delivers on the promise of excitement  but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience . "
0,"journalistically dubious  inept and often lethally dull . "
1,"it may be about drug dealers  kidnapping  and unsavory folks  but the tone and pacing are shockingly intimate . "
0,"some actors steal scenes . tom green just gives them a bad odor . this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard  but he's the most obvious one . "
0," . . . if you  like me  think an action film disguised as a war tribute is disgusting to begin with  then you're in for a painful ride . "
1,"the faithful will enjoy this sometimes wry adaptation of v . s . naipaul's novel  but newcomers may find themselves stifling a yawn or two during the first hour . "
1,"a wildly entertaining scan of evans' career . "
0,"the master of disguise falls under the category of 'should have been a sketch on saturday night live . '"
0,"the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way . "
1,"topics that could make a sailor blush - but lots of laughs . "
0,"collapses under its own meager weight . "
1,"one of the best  most understated performances of [jack nicholson's] career . "
0,"no film could possibly be more contemptuous of the single female population . "
0,"so bland and utterly forgettable that it might as well have been titled generic jennifer lopez romantic comedy . "
0,"strangely comes off as a kingdom more mild than wild . "
1,"plummer steals the show without resorting to camp as nicholas' wounded and wounding uncle ralph . it's a great performance and a reminder of dickens' grandeur . "
1,"looking aristocratic  luminous yet careworn in jane hamilton's exemplary costumes  rampling gives a performance that could not be improved upon . "
0,"offers absolutely nothing i hadn't already seen . "
1," . . . a solid  unassuming drama . "
0,"releasing a film with the word 'dog' in its title in january lends itself to easy jokes and insults  and snow dogs deserves every single one of them . "
1,"what it lacks in originality it makes up for in effective if cheap moments of fright and dread . "
1,"the film's appeal has a lot to do with the casting of juliette binoche as sand  who brings to the role her pale  dark beauty and characteristic warmth . "
0,"gee  a second assassin shot kennedy ? moot point . "
0,"stephen earnhart's documentary is a decomposition of healthy eccentric inspiration and ambition � wearing a cloak of unsentimental  straightforward text � when it's really an exercise in gross romanticization of the delusional personality type . "
1,"with so many bad romances out there  this is the kind of movie that deserves a chance to shine . "
1,"[an] absorbing documentary . "
0,"whereas last year's exemplary sexy beast seemed to revitalize the british gangster movie  this equally brutal outing merely sustains it . "
0,"first  for a movie that tries to be smart  it's kinda dumb . and second  what's with all the shooting ? "
1,"none of his actors stand out  but that's less of a problem here than it would be in another film : characterization matters less than atmosphere . "
0,"there's too much forced drama in this wildly uneven movie  about a young man's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present . "
0,"a recipe for cinematic disaster . . . part quentin tarantino  part guy ritchie  and part 1960s spy spoof  it's all bad . "
0,"the movie spends more time with schneider than with newcomer mcadams  even though her performance is more interesting ( and funnier ) than his . "
1,"road to perdition does display greatness  and it's worth seeing . but it also comes with the laziness and arrogance of a thing that already knows it's won . "
1,"the film makes a strong case for the importance of the musicians in creating the motown sound . "
0,"marries the amateurishness of the blair witch project with the illogic of series 7 : the contenders to create a completely crass and forgettable movie . "
1,"who needs mind-bending drugs when they can see this  the final part of the 'qatsi' trilogy  directed by godfrey reggio  with music by philip glass ? "
0,"with a story inspired by the tumultuous surroundings of los angeles  where feelings of marginalization loom for every dreamer with a burst bubble  the dogwalker has a few characters and ideas  but it never manages to put them on the same path . "
0," . . . too dull to enjoy . "
1,"a fast-moving and remarkable film that appears destined to become a landmark in japanese animation . "
1,"feature debuter d . j . caruso directs a crack ensemble cast  bringing screenwriter tony gayton's narcotics noir to life . "
0,"the only type of lives this glossy comedy-drama resembles are ones in formulaic mainstream movies . "
0,"nothing more than a run-of-the-mill action flick . "
0,"all in all  road to perdition is more in love with strangeness than excellence . "
1,"the journey is worth your time  especially if you have ellen pompeo sitting next to you for the ride . "
0,"the movie is dawn of the dead crossed with john carpenter's ghosts of mars  with zombies not as ghoulish as the first and trains not as big as the second . "
1,"just as moving  uplifting and funny as ever . "
0,"usually when i get this much syrup  i like pancakes to go with it . "
0,"the movie's messages are quite admirable  but the story is just too clich�d and too often strains credulity . "
0,"hard-core slasher aficionados will find things to like . . . but overall the halloween series has lost its edge . "
1,"cho's fearless in picking apart human foibles  not afraid to lay her life bare in front of an audience . her delivery and timing are flawless . "
1,"frequent flurries of creative belly laughs and genuinely enthusiastic performances . . . keep the movie slaloming through its hackneyed elements with enjoyable ease . "
0,"the movie is a desperate miscalculation . it gives poor dana carvey nothing to do that is really funny  and then expects us to laugh because he acts so goofy all the time . "
0,"seagal ran out of movies years ago  and this is just the proof . "
1,"workmanlike  maybe  but still a film with all the elements that made the other three great  scary times at the movies . "
0,"sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser . . . above its paint-by-numbers plot . "
0,"squandering his opportunity to make absurdist observations  burns gets caught up in the rush of slapstick thoroughfare . "
0,"just because it really happened to you  honey  doesn't mean that it's interesting to anyone else . "
0,"the screenplay by james eric  james horton and director peter o'fallon . . . is so pat it makes your teeth hurt . "
1,"a small movie with a big impact . "
1,"the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work . "
0,"this picture is mostly a lump of run-of-the-mill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office -- or trying to win over a probation officer . "
0,"these guys seem great to knock back a beer with but they're simply not funny performers . "
0,"it's best to avoid imprisonment with the dull  nerdy folks that inhabit cherish . "
1,"there's really only one good idea in this movie  but the director runs with it and presents it with an unforgettable visual panache . "
0,"it's like an all-star salute to disney's cheesy commercialism . "
0,"memorable for a peculiar malaise that renders its tension flaccid and  by extension  its surprises limp and its resolutions ritual . "
0,"here's my advice  kev . start reading your scripts before signing that dotted line . "
1,"an extremely funny  ultimately heartbreaking look at life in contemporary china . "
1," . . . with the gifted pearce on hand to keep things on semi-stable ground dramatically  this retooled machine is ultimately effective enough at achieving the modest  crowd-pleasing goals it sets for itself . "
1,"a taut  sobering film . "
0,"a movie so bad that it quickly enters the pantheon of wreckage that includes battlefield earth and showgirls . "
1,"visually  'santa clause 2' is wondrously creative . "
0,"since dahmer resorts to standard slasher flick thrills when it should be most in the mind of the killer  it misses a major opportunity to be truly revelatory about his psyche . "
1,"jackson is always watchable . "
0,"its and pieces of the hot chick are so hilarious  and schneider's performance is so fine  it's a real shame that so much of the movie -- again  as in the animal -- is a slapdash mess . "
0,"charming  if overly complicated . . . "
0,"most fish stories are a little peculiar  but this is one that should be thrown back in the river . "
1,"nicks sustains the level of exaggerated  stylized humor throughout by taking your expectations and twisting them just a bit . "
1,"the wanton slipperiness of * corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art . "
1,"ian holm conquers france as an earthy napoleon"
0,"when [de palma's] bad  he's really bad  and femme fatale ranks with the worst he has done . "
0,"the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense . "
0,"what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film so poorly plotted and scripted . "
1,"entirely suspenseful  extremely well-paced and ultimately . . . dare i say  entertaining ! "
0,"[a] rather thinly-conceived movie . "
1,"dark and disturbing  yet compelling to watch . "
1,"the story has some nice twists but the ending and some of the back-story is a little tired . the performances are all solid ; it merely lacks originality to make it a great movie . "
1,"about the best thing you could say about narc is that it's a rock-solid little genre picture . whether you like it or not is basically a matter of taste . "
0,"[newton]wanders through charlie completely unaware she needs to show some presence and star quality . "
0,"a film of empty  fetishistic violence in which murder is casual and fun . "
0," . . . unlike [scorsese's mean streets]  ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot . "
1,"like leon  it's frustrating and still oddly likable . "
1,"it's sobering  particularly if anyone still thinks this conflict can be resolved easily  or soon . "
0,"at a brief 42 minutes  we need more x and less blab . "
0,"holds limited appeal to those who like explosions  sadism and seeing people beat each other to a pulp . "
1,"what a great way to spend 4 units of your day . "
1,"it is the sheer  selfish  wound-licking  bar-scrapping doggedness of leon's struggle to face and transmute his demons that makes the movie a spirited and touching occasion  despite its patchy construction . "
1,"it has a dashing and resourceful hero ; a lisping  reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in your own cleverness as you figure it out . "
0,"gorgeous to look at but insufferably tedious and turgid . . . a curiously constricted epic . "
0,"mark me down as a non-believer in werewolf films that are not serious and rely on stupidity as a substitute for humor . "
1,"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style  and by offering its target audience of urban kids some welcome role models and optimism . "
0,"crikey indeed . "
0,"the picture is a primer on what happens when lack of know-how mixes with lack of give-a-damn . "
1," . . . either you're willing to go with this claustrophobic concept or you're not . "
1,"you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human . "
0,"visually exciting sci-fi film which suffers from a lackluster screenplay . "
1,"we know the plot's a little crazy  but it held my interest from start to finish . "
1,"el peso de un l韖uido incoloro  el peso del l韖uido vital  del amor como elemento de vida  y de muerte . . . "
1,"it's a diverting enough hour-and-a-half for the family audience . "
1,"emerges as something rare  an issue movie that's so honest and keenly observed that it doesn't feel like one . "
0,"some writer dude  i think his name was  uh  michael zaidan  was supposed to have like written the screenplay or something  but  dude  the only thing that i ever saw that was written down were the zeroes on my paycheck . "
1,"will certainly appeal to asian cult cinema fans and asiaphiles interested to see what all the fuss is about . "
0,"surprisingly  considering that baird is a former film editor  the movie is rather choppy . "
1,"the story . . . is inspiring  ironic  and revelatory of just how ridiculous and money-oriented the record industry really is . it is also a testament to the integrity and vision of the band . "
1,"if the very concept makes you nervous . . . you'll have an idea of the film's creepy  scary effectiveness . "
0,"what little atmosphere is generated by the shadowy lighting  macabre sets  and endless rain is offset by the sheer ugliness of everything else . "
0,"by the final whistle you're convinced that this mean machine was a decent tv outing that just doesn't have big screen magic . "
1,"it's about issues most adults have to face in marriage and i think that's what i liked about it -- the real issues tucked between the silly and crude storyline . "
0,"kapur's contradictory feelings about his material result in a movie that works against itself . "
1,"it sends you away a believer again and quite cheered at just that . "
0," . . . a bland  pretentious mess . "
1,"culkin  who's in virtually every scene  shines as a young man who uses sarcastic lies like a shield . "
1,"would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes  by all means enjoy the new guy . "
1,"a slam-bang extravaganza that is all about a wild-and-woolly  wall-to-wall good time . "
0,"made me feel uneasy  even queasy  because [solondz's] cool compassion is on the border of bemused contempt . "
1,"one of the best of a growing strain of daring films . . . that argue that any sexual relationship that doesn't hurt anyone and works for its participants is a relationship that is worthy of our respect . "
0,"this film is too busy hitting all of its assigned marks to take on any life of its own . "
0,"it's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer  squad car pile-ups and the requisite screaming captain . "
0,"a dopey movie clothed in excess layers of hipness . "
0,"the movie succumbs to being nothing more than a formulaic chase in the dark . "
1,"nonchalantly freaky and uncommonly pleasurable  warm water may well be the year's best and most unpredictable comedy . "
1,"absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way . "
1,"a compelling story of musical passion against governmental odds . "
1,"expands the limits of what a film can be  taking us into the lives of women to whom we might not give a second look if we passed them on the street . "
0,"the real question this movie poses is not 'who ? ' but 'why ? '"
1,"directing with a sure and measured hand  [haneke] steers clear of the sensational and offers instead an unflinching and objective look at a decidedly perverse pathology . "
1,"intriguing and beautiful film  but those of you who read the book are likely to be disappointed . "
0,"a surprisingly flat retread  hobbled by half-baked setups and sluggish pacing . "
0,"madonna still can't act a lick . "
0,"it's better than the phantom menace . but unless you're an absolute raving star wars junkie  it isn't much fun . "
1,"what could have become just another cautionary fable is allowed to play out as a clever  charming tale ?as pleasantly in its own way as its self-dramatizing characters . "
1,"this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes . a rewarding work of art for only the most patient and challenge-hungry moviegoers . "
1,"a witty  low-key romantic comedy . "
0,"with the cheesiest monsters this side of a horror spoof  which they isn't  it is more likely to induce sleep than fright . "
0,"the movie's blatant derivativeness is one reason it's so lackluster . "
1,"the film sparkles with the the wisdom and humor of its subjects . "
0,"i suspect that there are more interesting ways of dealing with the subject . "
1,"tully is in many ways the perfect festival film : a calm  self-assured portrait of small town regret  love  duty and friendship that appeals to the storytelling instincts of a slightly more literate filmgoing audience . "
0,"only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm . "
